"concept_id:ID","name",":LABEL"
"33851bdc4608da7542753e9edf1dc2e95d670ff864e26a1f3353279b2b0ef8c5","progress","Concept"
"e63552456203d26dd5d0be376dc6228d17398391e5cb2a6fc1f9ecbff643dcc2","transmission","Concept"
"71c54d7c653d3aa2d2c9e80b5685d9adf70cd2b2f4192e61ccb19caf483addea","integration","Concept"
"676436eca3db62e6e3449712f629c0ca810d18adc2a8ad09e1498a89954971f0","place","Concept"
"3d7763a5c73b954b5545db1b8553e2ed2adbbd9d264e831a2303eb820b2294c7","pause","Concept"
"2f55bcdc90d655ca679752faabcf9a063b807bbad3bdbd922194ea8d089cdf28","malfunction","Concept"
"62bb4f494979f56acf6939afc9bdec5a24fa20cf360222ab87e70fecf7ea7fb2","love","Concept"
"ae8f3243c37ee142b4100c9c544e5674ec1b8bea22958a5cac7f7e2daee615db","innovation","Concept"
"9bdbe559028be8c960dd8a646590f64cbb4dd82d9731d17b739e791b9577a7e1","entry","Concept"
"deb39de3961fef15239396bc04342cb654ccd4876c4da7b08bf17d055c258386","intervention","Concept"
"fe2884630021532b24e383049d6a72d2adddfa837f1a9518212a9b74773506a1","standard","Concept"
"280b67730f4981d8107205bb962fe4eb854b119c53d0fe34eac5b0c7c7ab7618","resolve","Concept"
"b8c83be145a5a4e4c981bb1f1faf3393fda3f44b7f4fbf9376eaf3a03fba38d3","manner","Concept"
"b29ad4158808e1884df7a7939659f9cff790595424f51dac5797d7c1f0382b1a","restraint","Concept"
"edccf2181afd50e844d8e5098c17b31ad50f382d3b2a90cfad09484f39671063","seriousness","Concept"
"b7d8c331f81de8a0dce1bfbcf0e9ff769a67224188f615b0798950d9ab101561","seeking","Concept"
"5c4650fcef52d3b23fd9cf8b7684c38d5431a1c6c08d4c2523f8a81ffcaaf57e","mankind","Concept"
"7c4c46234a0794aeed7858a77e90b3648eff198437306f5b730de42606a45e7e","individual","Concept"
"e3931123e482587523d2e4a04de0ed2883456754673603086c5badd67823e013","arrival","Concept"
"90af635d95647dad4c78826de88c9d1bba09120bffed1519d6b10efcccd8ebdd","electronics","Concept"
"94571731bb93af7cd711ee2246c1bd3803b883d6d842f28c42712a1a6fa05883","anomaly","Concept"
"31e26ff54b36852a089beec450d8b56bf440e9d6e7cdf7a65a0b60d154bcdf1b","clarification","Concept"
"086d0b9e3576a8bdbf2b93e833afbdcb82496cfbe6821aa6d582a5840e68be2f","calmness","Concept"
"ad4c706bae8833eaa56bb4e5570a70f57f3477fb213e1b758ddcac2cd9165cf7","secrets","Concept"
"626fb4178fba44effc5207cb54ae879e923de32046b8bbc7e39ab47f751a325f","data","Concept"
"224c540118f34355550f8ce2f41be6cae5bfff0a6ff61429e7ec994886641a27","deployment","Concept"
"046cc003f1d119a1eb32ae2577fab493540dceb36a62616e857344b2a5d5c466","disagreement","Concept"
"f5bca8565b4f297e32ecb1a55c23de89fb9b5951b48e686f46befe8446d0c9fa","kind","Concept"
"52a6e5f61ba09709362264764ca7e31f6c57710bbd6f1c753f8354c9c3a4b5e5","adjustment","Concept"
"cd3004f22b4315db09b6f15013c37c880b75cfd570bb228edbb3b6139385708c","equipment","Concept"
"386fd3e4d3e292afdaa5f8f4e43828fbd30174605909e3187c94e30592cd3556","organ","Concept"
"f98bf36f66a702129546085a9990a9b04250f43e4a6852960f3c4eb37e3d15e6","decode","Concept"
"f89b255f73a5c708f2ffffb09cc9a794c1975d4cc9aa95ad29c0507666edd5ad","encrypt","Concept"
"3d2ed4041a1ad81a588fdafadf7ddfe5eb77249fee514eac65db83418fd5e384","warning","Concept"
"fdfb14bb9ccea8876ae9be90e937a28224b5d86af997b259559f29943ca05bde","politics","Concept"
"ee09981f75495e3c9b246c32a21e72dc68b5388bad7bac96d27e9a199fa61b0b","humanity","Concept"
"af8ea05e0db7511525c663a46a8d7f3d6c122e6735620799e5d0e0879197c3e0","people","Concept"
"e4998139b14e4728487b5b83bbeb0071e44248bdcf6b2d4e2bac3d05afc33b5f","challenge","Concept"
"a0b9f35eb7e41e95e57d5d29307781951bfba46714300a1f38a9b3ceeb758067","actress","Concept"
"e920c0c44fa19f33d5f5dd1bb878c457d87586546b5c661f06d0bbc1e8e2c752","trails","Concept"
"1e4bc7d43e799a86cbc2ee4128c5c2c2797664d4d76def6bbb4ea390f70597cf","assistance","Concept"
"2785bc56735aaa2458fbf6662a6c2e1aaa600b492ade1e11c33ca884ad05c368","skepticism","Concept"
"462dd2328d5950d1c786c7157fd9812b1721665bd7c77bb68519fed903eb4bc3","barrier","Concept"
"31a164da45512c8d8d2d331e0c023151e2678bf494e5f1c22af763e205b29555","advance","Concept"
"ed001e3789290fac5a8b0d091a2f549704624ba078867b841e54e3fff45a1f1a","town","Concept"
"00ac04aa45ebca8ac0ca3d346b16c79bec24a76966a03d5d4798ea37a96de387","protection","Concept"
"7a1ad027fb0a91b60cb9befd7caf819ce4218108acd084d291008fb95cf27f52","unification","Concept"
