name:ID,type,concepts,synsets,:LABEL
"The technology adopted enable the glazing product to reduce resources used in maintenance, e.g. self-cleaning glass, etc.",event,[],[],Node
The manufacturer of the product shall have effective energy management policies and procedures and / as an energy management programme.,event,[],[],Node
"Product shall NOT contain: Substances listed in IARC Group 1, 2A and 2B ≥ 0.1% by weight of the product",event,[],[],Node
Product packaging shall not contain halogenated plastics.,event,[],[],Node
All packaging materials shall be either comprised of 100% recycled material or readily recyclable,event,[],[],Node
The following requirements are applicable to all glazing products:,event,[],[],Node
"The technology adopted enable the glazing product to reduce resources used in energy, such as lighting, e.g. instantly reactive glazing technology that changes the glass from clear to a dark blue tint, self tinted glass, etc.",event,[],[],Node
Detailed plan(s) of energy consumption and reduction programme,event,[],[],Node
Documentation on the packaging materials used,event,[],[],Node
Documentation describing the extra environmental features adopted as well as the product functions generated by the technology,event,[],[],Node
Laboratory test report(s) for all relevant quality and performance tests,event,[],[],Node
"Product shall fulfil the quality, safety, air leakage and other functional requirements",event,[],[],Node
"The technology adopted enable the glazing product to reduce resources used in maintenance, e.g. self-cleaning glass, etc. Or Energy, such as lighting, e.g. instantly reactive glazing technology that changes the glass from clear to a dark blue tint, self tinted glass, etc.",event,[],[],Node
Technology,entity,[],[],Node
Glazing Product,entity,[],[],Node
Product packaging shall not contain halogenated plastics. All packaging materials shall be either comprised of 100% recycled material or readily recyclable.,event,[],[],Node
Product Packaging,entity,[],[],Node
Materials,entity,[],[],Node
"The product shall fulfil the quality, safety, air leakage and other functional requirements. Manufacturer shall provide a 10-year guarantee to the product.",event,[],[],Node
"Product shall NOT contain: Substances listed in IARC Group 1, 2A and 2B ≥ 0.1% by weight of the product Organotin compounds Phthalates or polybrominated diphenylethers.",event,[],[],Node
Substances,entity,[],[],Node
Documentation on the packaging materials used is required.,event,[],[],Node
Documentation,entity,[],[],Node
Packaging Materials,entity,[],[],Node
Documentation describing the extra environmental features adopted as well as the product functions generated by the technology is required.,event,[],[],Node
Product Functions,entity,[],[],Node
Laboratory test report(s) for all relevant quality and performance tests is required.,event,[],[],Node
Test Report,entity,[],[],Node
Quality,entity,[],[],Node
Performance,entity,[],[],Node
Directive 2001/59/EC,entity,[],[],Node
tinted glazing product,entity,[],[],Node
toxic heavy metals,entity,[],[],Node
chlorinated / brominated paraffins,entity,[],[],Node
Filler gases,entity,[],[],Node
insulating units,entity,[],[],Node
Laboratory test report,entity,[],[],Node
certification,entity,[],[],Node
MSDS,entity,[],[],Node
Self-declaration letter,entity,[],[],Node
Production documentation,entity,[],[],Node
GWP,entity,[],[],Node
in 100 years,entity,[],[],Node
HKGBC Green Product Accreditation and Standards,entity,[],[],Node
The following requirements are applicable to tinted glazing product only:,event,[],[],Node
"Product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb), and cobalt (Co).",event,[],[],Node
The following requirements are applicable to double/triple glazing product only:,event,[],[],Node
Product shall not contain chlorinated / brominated paraffins,event,[],[],Node
Filler gases used in the insulating units: $≤ 5$ in $GWP_{100}$,event,[],[],Node
"Laboratory test report(s), MSDS, self-declaration letter and production documentation",event,[],[],Node
The CIC Green Product Certification *(formerly known as HKGBC Green Product Accreditation and Standards [HK G-PASS])* (herein,event,[],[],Node
European Union Directive 2001/59/EC,entity,[],[],Node
product,entity,[],[],Node
lead (Pb),entity,[],[],Node
cadmium (Cd),entity,[],[],Node
mercury (Hg),entity,[],[],Node
chromium (Cr),entity,[],[],Node
arsenic (As),entity,[],[],Node
selenium (Se),entity,[],[],Node
antimony (Sb),entity,[],[],Node
cobalt (Co),entity,[],[],Node
double/triple glazing product,entity,[],[],Node
filler gases,entity,[],[],Node
$GWP_{100}$,entity,[],[],Node
"Laboratory test report(s), MSDS, self-declaration letter and production documentation | +10 | 4.3.1 (page 8) |",event,[],[],Node
laboratory test report(s),entity,[],[],Node
self-declaration letter,entity,[],[],Node
production documentation,entity,[],[],Node
"## <span id=""page-5-0""></span>**1. INTRODUCTION** <span id=""page-5-1""></span> ## **1.1 PURPOSE**",event,[],[],Node
HKGBC Green Product Accreditation and Standards [HK G-PASS],entity,[],[],Node
Scheme,entity,[],[],Node
Hong Kong Green Building Council,entity,[],[],Node
Assessment Standard,entity,[],[],Node
assessment criteria,entity,[],[],Node
verification methods,entity,[],[],Node
Standard,entity,[],[],Node
laws and regulations,entity,[],[],Node
compliance with laws and regulations,entity,[],[],Node
Glazing products,entity,[],[],Node
building,entity,[],[],Node
substances,entity,[],[],Node
Assessment criteria,entity,[],[],Node
energy-efficient building envelop,entity,[],[],Node
environmental impact,entity,[],[],Node
glass,entity,[],[],Node
Applicant,entity,[],[],Node
label,entity,[],[],Node
The Scheme is owned by the Construction Industry Council (CIC) and implemented by the Hong Kong Green Building Council (HKGBC).,event,[],[],Node
"It aims to help consumers, building professionals and policy makers identify environmentally preferable building materials and products.",event,[],[],Node
The Standard sets out the assessment criteria and their benchmarks for glazing products.,event,[],[],Node
It governs the application and award of a label under the Scheme.,event,[],[],Node
The Standard defines the verification methods to determine which labelling grade should be awarded to the product.,event,[],[],Node
The Standard neither modifies nor supersedes laws and regulations.,event,[],[],Node
"Compliance with this Standard is not a substitute for, and does not assure, compliance with any applicable laws or regulations.",event,[],[],Node
Compliance with all applicable laws and regulations is a prerequisite for the manufacturing and marketing of the product.,event,[],[],Node
The glazing area of a building could account for 10 to 25% of a building's exposed surface.,event,[],[],Node
The greatest environmental impact of glazing products is resulted from the energy losses during the building operation stage.,event,[],[],Node
"The purposes of the assessment criteria developed for glazing are, therefore, to promote the use of energy-efficient building envelop, and to minimise the environmental impact.",event,[],[],Node
Many of the glazing products contain substances that may be harmful to the environment and human health.,event,[],[],Node
"The scope of this Standard is applicable to glass in fixed and opening windows, window doors, and other elements of building envelop.",event,[],[],Node
Glass blocks and bricks or glass used for internal partitions are excluded from this Standard.,event,[],[],Node
The Scheme is owned by the Construction Industry Council (CIC) and implemented by the Hong Kong Green Building Council (HKGBC),event,[],[],Node
Construction Industry Council (CIC),entity,[],[],Node
Hong Kong Green Building Council (HKGBC),entity,[],[],Node
The Standard sets out the assessment criteria and their benchmarks for glazing products,event,[],[],Node
The Scheme,entity,[],[],Node
The Standard,entity,[],[],Node
The Standard defines the verification methods to determine which labelling grade should be awarded to the product,event,[],[],Node
"Compliance with this Standard is not a substitute for, and does not assure, compliance with any applicable laws or regulations",event,[],[],Node
Applicable laws or regulations,entity,[],[],Node
Compliance with all applicable laws and regulations is a prerequisite for the manufacturing and marketing of the product,event,[],[],Node
The product,entity,[],[],Node
"Glazing products are commonly used for fixed and opening windows, window doors, curtain walls and other elements of the building envelop",event,[],[],Node
The glazing area of a building could account for 10 to 25% of a building's exposed surface,event,[],[],Node
A building,entity,[],[],Node
The glazing area of a building serves as an interface to transmit light and provide outdoor view,event,[],[],Node
"Common types of glazing being used in architectural applications include clear and tinted float glass, tempered glass, and laminated glass as well as a variety of coated glasses, etc",event,[],[],Node
Clear and tinted float glass,entity,[],[],Node
Tempered glass,entity,[],[],Node
Laminated glass,entity,[],[],Node
Coated glasses,entity,[],[],Node
Many of the glazing products contain substances that may be harmful to the environment and human health,event,[],[],Node
The greatest environmental impact of glazing products is resulted from the energy losses during the building operation stage due to their long technical service life,event,[],[],Node
"The purposes of the assessment criteria developed for glazing are to promote the use of energy-efficient building envelop, and to minimise the environmental impact through stringent assessment criteria on the production process and use of materials",event,[],[],Node
Energy-efficient building envelop,entity,[],[],Node
"The scope of this Standard is applicable to glass in fixed and opening windows, window doors, and other elements of building envelop",event,[],[],Node
This Standard,entity,[],[],Node
Glass,entity,[],[],Node
Glass blocks and bricks or glass used for internal partitions are excluded from this Standard,event,[],[],Node
Glass blocks and bricks,entity,[],[],Node
Glass used for internal partitions,entity,[],[],Node
Each application should specify its types and product series,event,[],[],Node
Each application,entity,[],[],Node
Subsequent applications can be made for similar products with different thickness and/or coatings under a labelled product series,event,[],[],Node
Subsequent applications,entity,[],[],Node
Similar products,entity,[],[],Node
Labelled product series,entity,[],[],Node
Label,entity,[],[],Node
Core Criteria,entity,[],[],Node
minimum requirements,entity,[],[],Node
points,entity,[],[],Node
Green,entity,[],[],Node
Bronze,entity,[],[],Node
Silver,entity,[],[],Node
Gold,entity,[],[],Node
Platinum,entity,[],[],Node
Chief Executive Officer,entity,[],[],Node
submissions,entity,[],[],Node
documentation,entity,[],[],Node
up-to-date,entity,[],[],Node
A product to be assessed should meet all the minimum requirements of the Core Criteria,event,[],[],Node
be awarded a Green Label under the Scheme,event,[],[],Node
Bonus points may be awarded if the product meets the Non-core Criteria,event,[],[],Node
"a Bronze, Silver, Gold or Platinum Label will be awarded according to the total points accumulated",event,[],[],Node
All submissions and documentations shall be endorsed by the Chief Executive Officer or other authorised personnel,event,[],[],Node
the product can be assessed,event,[],[],Node
The Construction Industry Council established the CIC Green Product Certification Scheme.,event,[],[],Node
China National Accreditation Service for Conformity Assessment is involved in the certification process.,event,[],[],Node
China National Accreditation Service for Conformity Assessment,entity,[],[],Node
Windows with two or three layers of glass are considered suitable for energy efficiency.,event,[],[],Node
Double or triple glazing,entity,[],[],Node
External reflectance is a factor in daylight reflection from building surfaces.,event,[],[],Node
External reflectance,entity,[],[],Node
The Hong Kong Green Building Council Limited is involved in the evaluation process.,event,[],[],Node
HKGBC,entity,[],[],Node
The Hong Kong Accreditation Service is involved in the accreditation process.,event,[],[],Node
HKAS,entity,[],[],Node
The Hong Kong Laboratory Accreditation Scheme is involved in the laboratory testing process.,event,[],[],Node
HKGAS,entity,[],[],Node
Material Safety Data Sheets must be up-to-date to qualify as suitable.,event,[],[],Node
The International Agency for Research on Cancer provides information on product safety.,event,[],[],Node
IARC,entity,[],[],Node
The International Organisation for Standardisation provides standards for product evaluation.,event,[],[],Node
ISO,entity,[],[],Node
Third-party entities are involved in the evaluation process.,event,[],[],Node
Third-party,entity,[],[],Node
U-values are calculated to determine heat transfer through glazing products.,event,[],[],Node
Visible light transmittance is a factor in product evaluation.,event,[],[],Node
"Products must meet the ""Core Criteria"" to be awarded a ""Green"" Label.",event,[],[],Node
"Bonus points may be awarded for meeting ""Non-core Criteria"".",event,[],[],Node
Non-core Criteria,entity,[],[],Node
Labels are awarded based on total points accumulated.,event,[],[],Node
Labels,entity,[],[],Node
Submissions and documentations are endorsed by the Chief Executive Officer or other authorised personnel.,event,[],[],Node
authorised personnel,entity,[],[],Node
conformance,entity,[],[],Node
assessment,entity,[],[],Node
laboratory report,entity,[],[],Node
chemical tests,entity,[],[],Node
conducted,entity,[],[],Node
third party,entity,[],[],Node
conduct,entity,[],[],Node
manufacturer,entity,[],[],Node
ISO17025 certification,entity,[],[],Node
HOKLAS,entity,[],[],Node
national accreditation system,entity,[],[],Node
fulfil,entity,[],[],Node
quality,entity,[],[],Node
standards,entity,[],[],Node
glass manufacturer,entity,[],[],Node
provide,entity,[],[],Node
guarantee,entity,[],[],Node
functions,entity,[],[],Node
verification,entity,[],[],Node
laboratory test report,entity,[],[],Node
tests,entity,[],[],Node
ISO 17025 certification,entity,[],[],Node
possess,entity,[],[],Node
ISO14001 certification,entity,[],[],Node
EMAS certification,entity,[],[],Node
product manufacturer,entity,[],[],Node
information,entity,[],[],Node
provided,entity,[],[],Node
"All certification, laboratory report and documentation must be valid during the assessment process and labelling period.",event,[],[],Node
The validity of all laboratory report and documentation shall be 5 years from the date of issue.,event,[],[],Node
The chemical tests should be conducted by either a third party or the manufacturer who has received the ISO17025 certification or relevant national accreditation systems.,event,[],[],Node
"The chemical tests should be conducted by either a third party or the manufacturer who has received the ISO17025 certification or relevant national accreditation systems, e.g. HOKLAS, CNAS, etc.",event,[],[],Node
"The product shall fulfil the quality, safety, air leakage and other functional requirements according to the British Standards (BS), BS EN (European Standard), American Society for Testing and Materials (ASTM), Chinese National Standard (GB) or equivalent national standards.",event,[],[],Node
"In addition, glass manufacturer shall provide a 10-year guarantee covering functions and quality according to relevant standards.",event,[],[],Node
Verification Laboratory test report(s) for all relevant quality and performance tests.,event,[],[],Node
"The tests should be conducted by either a third party or manufacturer who has received ISO 17025 certification or national accreditation systems e.g. HOKLAS, CNAS (same applied to the verification methods hereafter).",event,[],[],Node
Manufacturer of the products shall possess valid certificates of ISO14001 or the EU Eco-Management and Audit Scheme (EMAS).,event,[],[],Node
"Targets shall be set to reduce the environmental impacts during the manufacturing process which include but not limited to the reduction of hazardous substance emissions, energy consumption, CO<sup>2</sup> emissions, secondary environmental load, waste management, water management, etc.",event,[],[],Node
A valid ISO14001 or EMAS Certificate issued by local or overseas accredited certification bodies.,event,[],[],Node
The following essential information shall be provided by the product manufacturer with each delivery of the glazing products or made available to the public:,event,[],[],Node
The Applicant must demonstrate conformance to the assessment criteria.,event,[],[],Node
Certification,entity,[],[],Node
Laboratory report,entity,[],[],Node
Third party,entity,[],[],Node
National accreditation systems,entity,[],[],Node
British Standards,entity,[],[],Node
BS EN,entity,[],[],Node
ASTM,entity,[],[],Node
GB,entity,[],[],Node
Glass manufacturer shall provide a 10-year guarantee covering functions and quality according to relevant standards.,event,[],[],Node
Glass manufacturer,entity,[],[],Node
Guarantee,entity,[],[],Node
Standards,entity,[],[],Node
Verification Laboratory,entity,[],[],Node
Test report,entity,[],[],Node
Quality and performance tests,entity,[],[],Node
The tests should be conducted by either a third party or manufacturer who has received ISO 17025 certification or national accreditation systems.,event,[],[],Node
"Guarantee certificate supplied with the product or made available to the public, e.g. through manufacturer's website.",event,[],[],Node
Guarantee certificate,entity,[],[],Node
Public,entity,[],[],Node
Manufacturer's website,entity,[],[],Node
ISO14001,entity,[],[],Node
EU Eco-Management and Audit Scheme (EMAS),entity,[],[],Node
"Targets shall be set to reduce the environmental impacts during the manufacturing process which include but not limited to the reduction of hazardous substance emissions, energy consumption, CO2 emissions, secondary environmental load, waste management, water management, etc.",event,[],[],Node
Targets,entity,[],[],Node
Environmental impacts,entity,[],[],Node
Hazardous substance emissions,entity,[],[],Node
Energy consumption,entity,[],[],Node
CO2 emissions,entity,[],[],Node
Secondary environmental load,entity,[],[],Node
Waste management,entity,[],[],Node
Water management,entity,[],[],Node
EMAS Certificate,entity,[],[],Node
Certification bodies,entity,[],[],Node
The following essential information shall be provided by the product manufacturer with each delivery of the glazing products or made available to the public.,event,[],[],Node
Product manufacturer,entity,[],[],Node
"Instructions on how the product shall be installed, adjusted and protected in a sustainable manner, in order to prevent heat loss as a result of poor installation.",event,[],[],Node
Instructions,entity,[],[],Node
"Information on the product's U-value, solar heat gain coefficient (SHGC) and visible light transmittance (VLT).",event,[],[],Node
SHGC,entity,[],[],Node
VLT,entity,[],[],Node
Instructions describing the recommended maintenance for the product.,event,[],[],Node
"Care instructions should contain details on how often the product should be checked and maintained, and what surface treatment is recommended.",event,[],[],Node
Surface treatment,entity,[],[],Node
Details of what should be done with the product at the end of its life cycle.,event,[],[],Node
End of life cycle,entity,[],[],Node
packaging materials,entity,[],[],Node
recyclable,entity,[],[],Node
decomposable,entity,[],[],Node
glazing products,entity,[],[],Node
resource consumption,entity,[],[],Node
product functions,entity,[],[],Node
heat,entity,[],[],Node
"The packaging materials shall be comprised of 100% recycled material or be readily recyclable, decomposable, or contain no coatings, impregnated chemicals or other materials that would prevent recycling or decomposition.",event,[],[],Node
"The packaging materials shall: - o Not contain halogenated plastics,",event,[],[],Node
"The packaging materials shall: - o Be comprised of 100% recycled material or be readily recyclable, decomposable, or contain no coatings, impregnated chemicals or other materials that would prevent recycling or decomposition.",event,[],[],Node
"Verification Documentation describing the packaging materials used as well as their chemical composition (if any and where applicable), treatment process and recyclability should be submitted.",event,[],[],Node
Manufacturers have been investigating and adopting innovative technologies to enhance the durability and environmental performance of the glazing products.,event,[],[],Node
"Durability and environmental performance of glazing products is advocated in the glazing industry due to the increasing awareness of ""green products"" among the contractors, architects and end-users, etc.",event,[],[],Node
"For example, high durability of glazing products can reduce resource consumption.",event,[],[],Node
"The technology adopted in the glazing manufacturing that can enable the glazing products to reduce resources used in: - o Maintenance, e.g. self-cleaning glass, etc.",event,[],[],Node
High durability of glazing products can reduce resource consumption.,event,[],[],Node
"The technology adopted in the glazing manufacturing that can enable the glazing products to reduce resources used in: - o Energy, such as lighting, e.g. instantly reactive glazing technology that changes the glass from clear to a dark blue tint, self-tinted glass, etc.",event,[],[],Node
The overall heat transfer coefficient or U-value measures how well a glazing product transfer heat.,event,[],[],Node
"A low U-value indicates the glazing product is well insulated, resulting in a reduction of cooling load.",event,[],[],Node
"In this Standard, the U-value of the single, double or tripled glazing products shall meet the requirements.",event,[],[],Node
"Verification Documentation related to the above product information and instructions, web pages and any other information freely available to customers or the public.",event,[],[],Node
Customers,entity,[],[],Node
"The packaging materials shall: - Not contain halogenated plastics, and - Be comprised of 100% recycled material or be readily recyclable, decomposable, or contain no coatings, impregnated chemicals or other materials that would prevent recycling or decomposition.",event,[],[],Node
Halogenated Plastics,entity,[],[],Node
Recycled Material,entity,[],[],Node
Verification Documentation,entity,[],[],Node
Manufacturers,entity,[],[],Node
Glazing Products,entity,[],[],Node
Technologies,entity,[],[],Node
"The technology adopted in the glazing manufacturing that can enable the glazing products to reduce resources used in: - o Maintenance, e.g. self-cleaning glass, etc. Or - o Energy, such as lighting, e.g. instantly reactive glazing technology that changes the glass from clear to a dark blue tint, self-tinted glass, etc.",event,[],[],Node
Glazing Manufacturing,entity,[],[],Node
Maintenance,entity,[],[],Node
Energy,entity,[],[],Node
Verification Documentation describing the extra environmental features adopted as well as the product functions generated by the technology.,event,[],[],Node
Cooling Load,entity,[],[],Node
ISO 8990 or EN-ISO 12567 standard,entity,[],[],Node
EN673 (Glazing) and EN ISO 10077 (Frame / Casement),entity,[],[],Node
equation below,entity,[],[],Node
Table 2,entity,[],[],Node
50%,entity,[],[],Node
70%,entity,[],[],Node
20%,entity,[],[],Node
Spectral measurements,entity,[],[],Node
ASTM E903,entity,[],[],Node
SHGC and VLT,entity,[],[],Node
EN 410 or ISO 9050 standard,entity,[],[],Node
The U-value of the product should be measured according to the applicable ISO 8990 or EN-ISO 12567 standard.,event,[],[],Node
"Alternatively, the U-value can be calculated according to the standard EN673 (Glazing) and EN ISO 10077 (Frame / Casement).",event,[],[],Node
The Applicant shall have effective energy management policies and procedures.,event,[],[],Node
5 Points (Core Criterion) will be awarded for Energy Management in Manufacturing.,event,[],[],Node
"Laboratory test report(s) on the SC, SHGC, external reflectance and VLT of the glazing product are required.",event,[],[],Node
Bonus points will be awarded if the U-value of the product reaches the standard in Table 1.,event,[],[],Node
Bonus points will be awarded if SC or SHGC of the product the standard in Table 2.,event,[],[],Node
SC or SHGC of the glazing products shall meet the limits below (Table 2).,event,[],[],Node
Bonus points will be awarded if VLT of the product shall be reach 70%.,event,[],[],Node
VLT of the glazing product shall be greater than 50%.,event,[],[],Node
5 Bonus Points (Core Criterion) will be awarded for Visible Light Transmittance.,event,[],[],Node
Table 1,entity,[],[],Node
FIVE bonus points will be awarded if VLT of the product shall be reach 70%.,event,[],[],Node
The external reflectance of glazing product shall be less than 20%.,event,[],[],Node
Glazing product,entity,[],[],Node
Laboratory test report(s) on the U-value of the glazing product.,event,[],[],Node
The U-value should be measured according to the applicable ISO 8990 or EN-ISO 12567 standard.,event,[],[],Node
ISO 8990,entity,[],[],Node
EN-ISO 12567,entity,[],[],Node
The U-value can be calculated according to the standard EN673 (Glazing) and EN ISO 10077 (Frame / Casement).,event,[],[],Node
EN673,entity,[],[],Node
EN ISO 10077,entity,[],[],Node
Spectral measurements shall comply with ASTM E903.,event,[],[],Node
The SHGC and VLT should be measured in accordance with the EN 410 or ISO 9050 standard.,event,[],[],Node
EN 410,entity,[],[],Node
ISO 9050,entity,[],[],Node
energy management programme,entity,[],[],Node
initiatives,entity,[],[],Node
energy management policies,entity,[],[],Node
hazardous substances,entity,[],[],Node
carcinogenic substances,entity,[],[],Node
International Agency for Research on Cancer,entity,[],[],Node
glazing product,entity,[],[],Node
phthalates,entity,[],[],Node
polybrominated diphenyl ethers,entity,[],[],Node
compliance,entity,[],[],Node
evaluation criteria,entity,[],[],Node
The followings shall be submitted as support for an energy management programme.,event,[],[],Node
the energy management programme is a requirement.,event,[],[],Node
"The Applicant must submit verification of energy management policies, procedures and programmes.",event,[],[],Node
The glazing product shall not contain any carcinogenic substances or chemicals.,event,[],[],Node
the International Agency for Research on Cancer (IARC) classifies them as carcinogenic.,event,[],[],Node
Any such carcinogens which are known to be present as contaminants shall be less than 0.1% by weight of the product.,event,[],[],Node
the product shall not contain any carcinogenic substances or chemicals.,event,[],[],Node
"The product shall also not contain organotin compounds, phthalates or polybrominated diphenyl ethers (PBDEs).",event,[],[],Node
they are classified as harmful or toxic in accordance with EU Directives 2001/59/EC.,event,[],[],Node
"The product shall not contain toxic heavy metals, or ingredients containing heavy metals.",event,[],[],Node
they are harmful to human health and the environment.,event,[],[],Node
"The product shall not contain chlorinated / brominated paraffins, and filler gases with 100-year global warming potential (GWP100) > 5.",event,[],[],Node
they are harmful to the environment and contribute to climate change.,event,[],[],Node
"Laboratory test report(s), MSDS, self-declaration letter and production documentation shall be submitted to demonstrate compliance.",event,[],[],Node
the product must comply with the criteria mentioned above.,event,[],[],Node
The points for meeting each criterion stated in Section 4 are summarised in Table 2.,event,[],[],Node
the evaluation criteria are listed in Table 2.,event,[],[],Node
"The Applicant shall submit energy management policies, procedures and programmes that is written or signed by Chief Executive Officer or other authorised representative of the Applicant.",event,[],[],Node
other authorised representative,entity,[],[],Node
"The glazing product shall not contain any carcinogenic substances or chemicals that are classified by the International Agency for Research on Cancer (IARC) in Group 1, 2A or 2B.",event,[],[],Node
International Agency for Research on Cancer (IARC),entity,[],[],Node
carcinogens,entity,[],[],Node
"The product shall also not contain organotin compounds, phthalates or polybrominated diphenyl ethers (PBDEs), and classified as harmful – R20, 21 or 22, toxic – R23, 24 or 25, or very toxic – R26, 27, in accordance with EU Directives 2001/59/EC.",event,[],[],Node
EU Directives 2001/59/EC,entity,[],[],Node
"The product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb) and cobalt (Co).",event,[],[],Node
"The product shall not contain chlorinated / brominated paraffins, and filler gases with 100-year global warming potential (GWP100) > 5 shall not be used in the insulating units.",event,[],[],Node
"Laboratory test report(s), MSDS, self-declaration letter and production documentation to demonstrate the compliance with the criteria mentioned above shall be submitted.",event,[],[],Node
Section 4,entity,[],[],Node
Green Label,entity,[],[],Node
product category,entity,[],[],Node
50 points,entity,[],[],Node
meeting all minimum requirements,entity,[],[],Node
grade glazing,entity,[],[],Node
Benchmarks,entity,[],[],Node
No Label,entity,[],[],Node
"To obtain 50 points, a company must meet all minimum requirements laid down in the 'Core Criteria'.",event,[],[],Node
A company's decision to be awarded a 'Green' Label under this product category is to obtain 50 points.,event,[],[],Node
The company must meet all minimum requirements laid down in the 'Core Criteria'.,event,[],[],Node
The company is eligible for a 'Green' Label under this product category.,event,[],[],Node
The company meets all minimum requirements laid down in the 'Core Criteria'.,event,[],[],Node
The company has 50 points or more.,event,[],[],Node
The company has 90 points or more.,event,[],[],Node
The company meets all minimum requirements laid down in the 'Core Criteria' and has additional points beyond the 50 points.,event,[],[],Node
The company is eligible for a 'Platinum' Label under this product category.,event,[],[],Node
The company has 80-89 points.,event,[],[],Node
The company meets all minimum requirements laid down in the 'Core Criteria' and has additional points between 50 and 89 points.,event,[],[],Node
The company is eligible for a 'Gold' Label under this product category.,event,[],[],Node
The company has 70-79 points.,event,[],[],Node
The company meets all minimum requirements laid down in the 'Core Criteria' and has additional points between 50 and 79 points.,event,[],[],Node
The company is eligible for a 'Silver' Label under this product category.,event,[],[],Node
The company has 60-69 points.,event,[],[],Node
The company meets all minimum requirements laid down in the 'Core Criteria' and has additional points between 50 and 69 points.,event,[],[],Node
The company is eligible for a 'Bronze' Label under this product category.,event,[],[],Node
The company has 50-59 points.,event,[],[],Node
The company meets all minimum requirements laid down in the 'Core Criteria' and has additional points between 50 and 59 points.,event,[],[],Node
